"","year","mine.name","mine.state","countystr","mine.status","operation.type","operating.company","production.stons","average.employees","labor.hours","total.stons","total.employee"
"1",2011,"Darby Fork No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",248,110,"288,543",4858,1317
"2",2011,"Huff Creek No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",313,127,"305,862",4858,1317
"3",2011,"Mine No.17","Kentucky (East)","Harlan","Active","Mine only","K And D Mining Inc.",81,35,"85,460",4858,1317
"4",2011,"D & C Mining  Corporation","Kentucky (East)","Harlan","Active","Mine only","D & C Mining Corporation",350,20,"41,784",4858,1317
"5",2011,"K3","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",224,15,"33,679",4858,1317
"6",2011,"No 1","Kentucky (East)","Harlan","Active","Mine only","Linsco Energy Llc",249,35,"75,283",4858,1317
"7",2011,"Rb #12","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",317,32,"39,954",4858,1317
"8",2011,"Mine No 2","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining, Llc",198,92,"181,961",4858,1317
"9",2011,"C5","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Company Inc.",316,30,"71,749",4858,1317
"10",2011,"D5","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Co. Inc",154,49,"143,758",4858,1317
"11",2011,"Mine No 2","Kentucky (East)","Harlan","Active","Mine only","Neco Energy Inc",48,33,"74,416",4858,1317
"12",2011,"Cloverlick #2","Kentucky (East)","Harlan","Active","Mine only","Jarisa, Inc.",102,38,"82,443",4858,1317
"13",2011,"Mine No. 3","Kentucky (East)","Harlan","Active","Mine only","Cloverlick Coal Company Llc",216,77,"181,139",4858,1317
"14",2011,"Mine # 1","Kentucky (East)","Harlan","Active","Mine only","Yellow Rose Coal, Llc",144,29,"62,281",4858,1317
"15",2011,"D1 Mine","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",181,20,"27,979",4858,1317
"16",2011,"Liggett #8","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",208,36,"5,426",4858,1317
"17",2011,"Mine No 1","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining Llc",286,109,"300,500",4858,1317
"18",2011,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Cave Spur Coal Llc",192,55,"150,068",4858,1317
"19",2011,"Mine No. 1","Kentucky (East)","Harlan","Active","Mine only","Panther Mining Llc",244,100,"245,318",4858,1317
"20",2011,"Mine No. 1","Kentucky (East)","Harlan","Active","Mine only","Cloverlick Coal Company Llc",256,86,"218,254",4858,1317
"21",2011,"Clover Fork No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",378,116,"318,190",4858,1317
"22",2011,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Powell Mountain Energy Llc",153,73,"178,036",4858,1317
"23",2010,"Highsplint","Kentucky (East)","Harlan","Active","Mine only","Parton Bros. Contracting Inc.",72,30,"56,018",6342,1395
"24",2010,"Mine No 2","Kentucky (East)","Harlan","Active","Mine only","Neco Energy Inc",385,34,"55,831",6342,1395
"25",2010,"Mine # 1","Kentucky (East)","Harlan","Active","Mine only","Yellow Rose Coal, Llc",97,25,"39,679",6342,1395
"26",2010,"Darby Fork No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Proces",315,110,"281,843",6342,1395
