year,mine.name,mine.state,countystr,mine.basin,mine.status,mine.type,company.type,operation.type,operating.company,operating.company.address,union.code,production.stons,average.employees,labor.hours,ARC
2011,No 9,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Bristol Coal Corp,"P.O. Box 1426, Grundy, VA 24614",,"46,022",16,"33,424",1
2011,Lmm,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Estep Coal Co Inc,"P.O. Box 1025, Grundy, VA 24614",,"62,373",17,"49,365",1
2011,No 8,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Capital Coal Corporation,"P.O. Box 1426, Grundy, VA 24614",,"39,055",13,"27,400",1
2011,No 10,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Four O Mining Corporation,"P.O. Box 148, Vansant, VA 24656",,"50,962",14,"26,811",1
2011,Deep Mine 41,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Drive, Norton, VA 24273",,"261,189",94,"209,456",1
2011,Deep Mine 37,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Drive, Norton, VA 24273",,"63,793",48,"94,753",1
2011,Mc Clure River  Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,"DickensonRussell Coal Co., Ll","5703 Crutchfield Dr, Norton, VA 24273",United Mine Workers of America,0,37,"79,314",1
2011,Cherokee Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Co Llc,"5703 Crutchfield Dr, Norton, VA 24273",United Mine Workers of America,"244,378",101,"202,051",1
2011,Roaring Fork No 4,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Co Llc,"7546 Gravel Lick Road, Cleveland, VA 24225",,"170,641",36,"80,526",1
2011,Wakenva Prep Plant,Virginia,Dickenson,Appalachia Central,"Active, men working, not producing",Underground,Indepedent Producer Operator,Preparation Plant,"Coal Technology International,","P.O. Box 191, Abingdon, VA 24212",,0,7,"16,826",1
2011,Nora Preparation Plant,Virginia,Dickenson,Appalachia Central,"Active, men working, not producing",Underground,Operating Subsidiary,Preparation Plant,"Wellmore Coal Company, Llc","P.O. Box 458, Big Rock, VA 24603",,0,4,"4,721",1
2010,No 9,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Bristol Coal Corp,"P.O. Box 1426, Grundy, VA 24614",,"60,320",16,"33,101",1
2010,Lmm,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Estep Coal Co Inc,"P.O. Box 1025, Grundy, VA 24614",,"74,542",17,"44,573",1
2010,No 8,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Capital Coal Corporation,"P.O. Box 1426, Grundy, VA 24614",,"30,305",11,"18,865",1
2010,No 10,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Four O Mining Corporation,"P.O. Box 148, Vansant, VA 24656",,"21,482",9,"11,501",1
2010,Mc Clure River  Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,"DickensonRussell Coal Co., Ll","5703 Crutchfield Dr, Norton, VA 24273",United Mine Workers of America,0,41,"77,130",1
2010,Cherokee Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Co Llc,"5703 Crutchfield Dr, Norton, VA 24273",United Mine Workers of America,"250,020",96,"191,543",1
2010,Roaring Fork No 4,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Co Llc,"7546 Gravel Lick Road, Cleveland, VA 24225",,"193,453",44,"86,264",1
2010,Deep Mine 41,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Drive, Norton, VA 24273",,"41,906",32,"78,049",1
2010,Deep Mine 37,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Drive, Norton, VA 24273",,"128,209",55,"120,026",1
2010,Nora Preparation Plant,Virginia,Dickenson,Appalachia Central,"Active, men working, not producing",Underground,Operating Subsidiary,Preparation Plant,"Wellmore Coal Company, Llc","P.O. Box 458, Big Rock, VA 24603",,0,4,"7,208",1
2010,#2,Virginia,Dickenson,Appalachia Central,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,Calvary Coal Corp,"P.O. Box 249, Stanville, KY 41659",,"16,410",14,"13,801",1
2010,Dismal Fk. Upper Banner Mine,Virginia,Dickenson,Appalachia Central,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,The Banner Company,"P.O. Box 453, Vansant, VA 24656",,"2,927",10,"1,689",1
2009,#2,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Calvary Coal Corp,"P.O. Box 249, Stanville, KY 41659",,"12,291",13,"14,522",1
2009,No 9,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Bristol Coal Corp,"P.O. Box 1426, Grundy, VA 24614",,"77,290",19,"38,467",1
2009,Lmm,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Estep Coal Co Inc,"P.O. Box 1025, Grundy, VA 24614",,"72,556",16,"43,881",1
2009,No 8,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Capital Coal Corporation,"P.O. Box 1426, Grundy, VA 24614",,"32,389",8,"16,815",1
2009,Mc Clure River  Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,"DickensonRussell Coal Co., Ll","5703 Crutchfield Dr, Norton, VA 24273",United Mine Workers of America,0,40,"69,105",1
2009,Cherokee Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Co Llc,"5703 Crutchfield Dr, Norton, VA 24273",United Mine Workers of America,"302,897",100,"189,972",1
2009,Roaring Fork No 4,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Co Llc,"7546 Gravel Lick Road, Cleveland, VA 24225",,"362,092",65,"129,330",1
2009,Deep Mine 37,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Drive, Norton, VA 24273",,"54,160",23,"45,969",1
2009,West Dante,Virginia,Dickenson,Appalachia Central,"Active, men working, not producing",Underground,Contractor,Mine only,The Banner Company,"P.O. Box 458, Big Rock, VA 24603",,"69,843",14,"29,401",1
2009,No 11,Virginia,Dickenson,Appalachia Central,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,Apple Jacks Coal Company Inc,"P.O. Box 453, Vansant, VA 24656",,"21,181",14,"7,508",1
2009,Nora Preparation Plant,Virginia,Dickenson,Appalachia Central,"Active, men working, not producing",Underground,Operating Subsidiary,Preparation Plant,"Wellmore Coal Company, Llc","P.O. Box 458, Big Rock, VA 24603",,0,9,"20,398",1
2009,No 2,Virginia,Dickenson,Appalachia Central,Permanently abandoned,Underground,Operating Subsidiary,Mine only,Black Dog Coal Corporation,"5703 Crutchfield Dr, Norton, VA 24273",,"162,357",40,"85,174",1
2008,Mine No. 9,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,C. S. & S. Coal Corporation,"P.O. Box 1247, Wise, VA 24293",,"119,416",18,"40,075",1
