year,mine.name,mine.state,countystr,mine.basin,mine.status,mine.type,company.type,operation.type,operating.company,operating.company.address,production.stons,average.employees,labor.hours,ARC
2011,Darby Fork No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Lone Mountain Processing Inc,"Drawer C, St Charles, VA 24282","505,624",110,"288,543",1
2011,Prep Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Manalapan Mining Company Inc,"8174 E Hwy 72, Pathfork, KY 40863",0,25,"40,713",1
2011,Totz Prep Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Harlan Cumberland Coal Company,"P.O. Box 269, Grays Knob, KY 40829",0,22,"60,242",1
2011,Highsplint Preparation Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Harlan Cumberland Coal Company,"P.O. Box 269, Grays Knob, KY 40829",0,20,"63,578",1
2011,Forester Creek Clean Coal Wash,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Fox Knob Coal Co, Inc.","P.O. Box 267, Coldiron, KY 40819",0,2,"5,883",1
2011,No 1 Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Old Virginia Services, L.L.C.","P.O. Box 1675, Ashland, VA 23005",0,9,"18,228",1
2011,Huff Creek No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Lone Mountain Processing Inc,"Drawer C, St Charles, VA 24282","680,731",127,"305,862",1
2011,Brookside Loadout,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Nally & Hamilton Enterprises I,"P.O. Box 157, Bardstown, KY 40004",0,2,"5,691",1
2011,Mine No.17,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,K And D Mining Inc.,"P.O. Box 2561, Middlesboro, KY 40965","160,997",35,"85,460",1
2011,Days Creek Stockpile,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Lone Mountain Processing Inc,"Drawer C, St Charles, VA 24282",0,4,"10,133",1
2011,D & C Mining  Corporation,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,D & C Mining Corporation,"P.O. Box 148, Fries, VA 24330","81,755",20,"41,784",1
2011,K3,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Harlan Cumberland Coal Company,"General Delivery, Grays Knob, KY 40829","45,364",15,"33,679",1
2011,No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Linsco Energy Llc,"P.O. Box 117, Stoney Fork, KY 40988","51,206",35,"75,283",1
2011,Rb #12,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Manalapan Mining Co., Inc.","8174 E Hwy 72, Pathfork, KY 40863","69,889",32,"39,954",1
2011,Mine No 2,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Stillhouse Mining, Llc","P.O. Box 527, Benham, KY 40807","353,306",92,"181,961",1
2011,C5,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Rex Coal Company Inc.,"P.O. Box 269, Grays Knob, KY 40829","69,799",30,"71,749",1
2011,D5,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Rex Coal Co. Inc,"P.O. Box 269, Grays Knob, KY 40829","245,923",49,"143,758",1
2011,Mine No 2,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Neco Energy Inc,"P.O. Box 2561, Middlesboro, KY 40965","129,192",33,"74,416",1
2011,Cloverlick #2,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Jarisa, Inc.","P.O. Box 536, Neon, KY 41840","181,128",38,"82,443",1
2011,Mine No. 3,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Cloverlick Coal Company Llc,"P.O. Box 527, Benham, KY 40807","426,117",77,"181,139",1
2011,Mine # 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Yellow Rose Coal, Llc","P.O. Box J, Cumberland, KY 40823","236,473",29,"62,281",1
2011,D1 Mine,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Manalapan Mining Co., Inc.","8174 East Highway 72, Pathfork, KY 40863","32,347",20,"27,979",1
2011,Liggett #8,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Liggett Mining Llc,"P.O. Box 367, Mary Alice, KY 40964","4,256",36,"5,426",1
2011,Prep Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,Sequoia Energy Llc,"P.O. Box 838, Middlesboro, KY 40965",0,17,"48,717",1
2011,Clover Loadout,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,Bledsoe Coal Corporation,"Route 2008 Box 351A, Big Laurel, KY 40808",0,16,"40,276",1
2011,Mine No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Stillhouse Mining Llc,"P.O. Box 527, Benham, KY 40807","596,499",109,"300,500",1
2011,Mine #1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Cave Spur Coal Llc,"P.O. Box 527, Benham, KY 40807","343,068",55,"150,068",1
2011,Mine No. 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Panther Mining Llc,"P.O. Box 527, Benham, KY 40807","495,517",100,"245,318",1
2011,Mine No. 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Cloverlick Coal Company Llc,"P.O. Box 527, Benham, KY 40807","526,855",86,"218,254",1
